municipi,info
Abella de la Conca,1
Abrera,1
Àger,1
Agramunt,1
Agullana,1
Aiguafreda,1
Aiguamúrcia,1
Aiguaviva,1
Aitona,1
Alamús,1
Alàs i Cerc,1
Albagés,1
Albanyà,1
Albatàrrec,1
Albesa,1
Albi,1
Albinyana,1
Albons,1
Alcanar,1
Alcarràs,1
Alcoletge,1
Alcover,1
Aldea,1
Aldover,1
Aleixar,1
Alella,1
Alfajarín,1
Alfara de Carles,1
Alfarràs,1
Alfés,1
Alforja,1
Algerri,1
Alguaire,1
Alins,1
Alió,1
Almacelles,1
Almenar,1
Almoster,1
Alòs de Balaguer,1
Alp,1
Alpens,1
Alpicat,1
Alt Àneu,1
Altafulla,1
Amer,1
Ametlla de Mar,1
Ametlla del Vallès,1
Ampolla,1
Amposta,1
Anglès,1
Anglesola,1
Arbeca,1
Arboç,1
Arbolí,1
Arbúcies,1
Arenys de Mar,1
Arenys de Munt,1
Argelaguer,1
Argençola,1
Argentera,1
Argentona,1
Armentera,1
Arnes,1
Arres,1
Arsèguel,1
Artés,1
Artesa de Lleida,1
Artesa de Segre,1
Ascó,1
Aspa,1
Avellanes i Santa Linya,1
Avià,1
Avinyó,1
Avinyonet de Puigventós,1
Avinyonet del Penedès,1
Badalona,1
Badia del Vallès,1
Bagà,1
Baix Pallars,1
Balaguer,1
Balenyà,1
Balsareny,1
Banyeres del Penedès,1
Banyoles,1
Barbens,1
Barberà de la Conca,1
Barberà del Vallès,1
Barcelona,1
Baronia de Rialb,1
Bàscara,1
Bassella,1
Batea,1
Bausen,1
Begues,1
Begur,1
Belianes,1
Bellcaire d'Empordà,1
Bellcaire d'Urgell,1
Bell-lloc d'Urgell,1
Bellmunt del Priorat,1
Bellmunt d'Urgell,1
Bellprat,1
Bellpuig,1
Bellvei,1
Bellver de Cerdanya,1
Bellvís,1
Benavent de Segrià,1
Benifallet,1
Benissanet,1
Berga,1
Besalú,1
Bescanó,1
Beuda,1
Biescas,1
Bigues i Riells,1
Bigues i Riells del Fai,1
Biosca,1
Bisbal de Falset,1
Bisbal del Penedès,1
Bisbal d'Empordà,1
Biure,1
Blancafort,1
Blanes,1
Boadella i les Escaules,1
Bolvir,1
Bonastre,1
Bordils,1
Borges Blanques,1
Borges del Camp,1
Borrassà,1
Borredà,1
Bossòst,1
Bot,1
Botarell,1
Bovera,1
Bràfim,1
Breda,1
Bruc,1
Brull,1
Brunyola,1
Cabacés,1
Cabanabona,1
Cabanelles,1
Cabanes,1
Cabanyes,1
Cabó,1
Cabra del Camp,1
Cabrera d'Anoia,1
Cabrera de Mar,1
Cabrils,1
Cadaqués,1
Calaf,1
Calafell,1
Calders,1
Caldes de Malavella,1
Caldes de Montbui,1
Caldes d'Estrac,1
Calella,1
Calldetenes,1
Callús,1
Calonge,1
Calonge de Segarra,1
Calvià,1
Camarasa,1
Camarles,1
Cambrils,1
Camós,1
Campdevànol,1
Campelles,1
Campllong,1
Camprodon,1
Canejan,1
Canet d'Adri,1
Canet de Mar,1
Canonja,1
Canovelles,1
Cànoves i Samalús,1
Cantallops,1
Canyelles,1
Capçanes,1
Capellades,1
Capmany,1
Capolat,1
Cardedeu,1
Cardona,1
Carme,1
Caseres,1
Cassà de la Selva,1
Casserres,1
Castell de Mur,1
Castellar de la Ribera,1
Castellar de n'Hug,1
Castellar del Riu,1
Castellar del Vallès,1
Castellbell i el Vilar,1
Castellbisbal,1
Castellcir,1
Castelldans,1
Castelldefels,1
Castellet i la Gornal,1
Castellfollit de la Roca,1
Castellfollit del Boix,1
Castellgalí,1
Castellnou de Bages,1
Castellnou de Seana,1
Castelló de Farfanya,1
Castelló d'Empúries,1
Castellolí,1
Castell-Platja d'Aro,1
Castellserà,1
Castellterçol,1
Castellvell del Camp,1
Castellví de la Marca,1
Castellví de Rosanes,1
Catllar,1
Cellera de Ter,1
Celrà,1
Centelles,1
Cercs,1
Cerdanyola del Vallès,1
Cervelló,1
Cervera,1
Cervià de les Garrigues,1
Cervià de Ter,1
Cistella,1
Ciutadella de Menorca,1
Ciutadilla,1
Clariana de Cardener,1
Cogul,1
Colera,1
Coll de Nargó,1
Collbató,1
Colldejou,1
Collsuspina,1
Colomers,1
Coma i la Pedra,1
Conca de Dalt,1
Conesa,1
Constantí,1
Copons,1
Corbera de Llobregat,1
Corbera d'Ebre,1
Corbins,1
Corçà,1
Cornellà de Llobregat,1
Cornellà del Terri,1
Cornudella de Montsant,1
Creixell,1
Crespià,1
"Cruïlles, Monells i Sant Sadurní de l'Heura",1
Cubelles,1
Cubells,1
Cunit,1
Darnius,1
Das,1
Deltebre,1
Dosrius,1
Duesaigües,1
Eivissa,1
Ejea de los Caballeros,1
Es Bòrdes,1
Escala,1
Esparreguera,1
Espinelves,1
Espluga Calba,1
Espluga de Francolí,1
Esplugues de Llobregat,1
Espolla,1
Esponellà,1
Espot,1
Espunyola,1
Esquirol,1
Estamariu,1
Estany,1
Estaràs,1
Esterri d'Àneu,1
Falset,1
Far d'Empordà,1
Farrera,1
Fatarella,1
Febró,1
Figaró-Montmany,1
Fígols,1
Fígols i Alinyà,1
Figuera,1
Figueres,1
Figuerola del Camp,1
Flaçà,1
Flix,1
Floresta,1
Fogars de la Selva,1
Fogars de Montclús,1
Foixà,1
Folgueroles,1
Fondarella,1
Fonollosa,1
Fontanals de Cerdanya,1
Fontanilles,1
Fontcoberta,1
Font-rubí,1
Foradada,1
Forallac,1
Forès,1
Fornells de la Selva,1
Fortià,1
Franqueses del Vallès,1
Freginals,1
Fuliola,1
Gaià,1
Galera,1
Gallifa,1
Gandesa,1
Garcia,1
Garidells,1
Garriga,1
Garrigàs,1
Garrigoles,1
Garriguella,1
Gavà,1
Gavet de la Conca,1
Gelida,1
Ger,1
Gimenells i el Pla de la Font,1
Ginestar,1
Girona,1
Gironella,1
Godall,1
Golmés,1
Gombrèn,1
Gósol,1
Granada,1
Granadella,1
Granja d'Escarp,1
Granollers,1
Granyanella,1
Granyena de les Garrigues,1
Gratallops,1
Gualba,1
Gualta,1
